Satellite ID,Time Slot,Memory Level (GB),Memory Capacity (GB),Memory Usage (%),Observations This Slot,Data Added (GB),Data Downlinked (GB),Status
S1,00:00,5.0,100,5.0,1,5,0.0,Normal
S1,00:05,5.0,100,5.0,0,0,0.0,Normal
S1,00:15,0.0,100,0.0,0,0,5.0,Normal
S1,01:30,5.0,100,5.0,1,5,0.0,Normal
S1,02:00,5.0,100,5.0,0,0,0.0,Normal
S2,00:00,5.0,100,5.0,1,5,0.0,Normal
S2,00:05,5.0,100,5.0,0,0,0.0,Normal
S2,00:15,0.0,100,0.0,0,0,5.0,Normal
S2,01:30,0.0,100,0.0,0,0,0.0,Normal
S2,02:00,0.0,100,0.0,0,0,0.0,Normal
S3,00:00,0.0,100,0.0,0,0,0.0,Normal
S3,00:05,5.0,100,5.0,1,5,0.0,Normal
S3,00:15,5.0,100,5.0,0,0,0.0,Normal
S3,01:30,5.0,100,5.0,0,0,0.0,Normal
S3,02:00,0.0,100,0.0,0,0,5.0,Normal
S4,00:00,0.0,100,0.0,0,0,0.0,Normal
S4,00:05,0.0,100,0.0,0,0,0.0,Normal
S4,00:15,0.0,100,0.0,0,0,0.0,Normal
S4,01:30,5.0,100,5.0,1,5,0.0,Normal
S4,02:00,0.0,100,0.0,0,0,5.0,Normal
S5,00:00,0.0,100,0.0,0,0,0.0,Normal
S5,00:05,0.0,100,0.0,0,0,0.0,Normal
S5,00:15,0.0,100,0.0,0,0,0.0,Normal
S5,01:30,0.0,100,0.0,0,0,0.0,Normal
S5,02:00,0.0,100,0.0,0,0,0.0,Normal
