Satellite ID,Time Slot,Activity,Memory (GB),Memory (%),Power (Wh),Power (%)
S1,00:00,Observing,5.0,5.0,90.0,90.0
S1,00:05,Idle,5.0,5.0,90.0,90.0
S1,00:15,Downlinking,0.0,0.0,65.0,65.0
S1,01:30,Observing,5.0,5.0,55.0,55.0
S1,02:00,Idle,5.0,5.0,55.0,55.0
S2,00:00,Observing,5.0,5.0,90.0,90.0
S2,00:05,Idle,5.0,5.0,90.0,90.0
S2,00:15,Downlinking,0.0,0.0,65.0,65.0
S2,01:30,Idle,0.0,0.0,65.0,65.0
S2,02:00,Idle,0.0,0.0,65.0,65.0
S3,00:00,Idle,0.0,0.0,100.0,100.0
S3,00:05,Observing,5.0,5.0,90.0,90.0
S3,00:15,Idle,5.0,5.0,90.0,90.0
S3,01:30,Idle,5.0,5.0,90.0,90.0
S3,02:00,Downlinking,0.0,0.0,65.0,65.0
S4,00:00,Idle,0.0,0.0,100.0,100.0
S4,00:05,Idle,0.0,0.0,100.0,100.0
S4,00:15,Idle,0.0,0.0,100.0,100.0
S4,01:30,Observing,5.0,5.0,90.0,90.0
S4,02:00,Downlinking,0.0,0.0,65.0,65.0
S5,00:00,Idle,0.0,0.0,100.0,100.0
S5,00:05,Idle,0.0,0.0,100.0,100.0
S5,00:15,Idle,0.0,0.0,100.0,100.0
S5,01:30,Idle,0.0,0.0,100.0,100.0
S5,02:00,Idle,0.0,0.0,100.0,100.0
